Spectrum Name:	Na22
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Direct In
High Voltage:	0
Conversion Gain:	1024
Coarse Gain:	1
Fine Gain:	1.00
Upper Discriminator:	5
Lower Discriminator:	0
Calibration Coefficients:	4.6581818181756773E-4	0.004826181818181821
Calibration Channels:	243	276
Calibration Energies:	1.173228	1.332492
Elapsed Real Time:	5.0
Elapsed Live Time:	4.9
Start Time:	May 12, 2025, 02:31:26
End Time:	May 12, 2025, 02:31:31
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid


Channel Data:
Channel	Energy	Counts
0	4.6581818181756773E-4	0
1	0.005291999999999388	0
2	0.010118181818181209	0
3	0.01494436363636303	3
4	0.01977054545454485	2
5	0.02459672727272667	0
6	0.029422909090908493	4
7	0.03424909090909031	3
8	0.03907527272727213	9
9	0.04390145454545395	7
10	0.04872763636363577	20
11	0.05355381818181759	9
12	0.05837999999999942	18
13	0.06320618181818123	31
14	0.06803236363636306	32
15	0.07285854545454487	35
16	0.0776847272727267	25
17	0.08251090909090852	18
18	0.08733709090909034	16
19	0.09216327272727216	16
20	0.09698945454545398	12
21	0.1018156363636358	9
22	0.10664181818181762	13
23	0.11146799999999944	19
24	0.11629418181818127	15
25	0.12112036363636308	18
26	0.1259465454545449	13
27	0.13077272727272674	13
28	0.13559890909090855	10
29	0.14042509090909036	13
30	0.14525127272727217	14
31	0.15007745454545401	7
32	0.15490363636363583	6
33	0.15972981818181764	9
34	0.16455599999999948	18
35	0.1693821818181813	8
36	0.1742083636363631	11
37	0.17903454545454492	13
38	0.18386072727272676	5
39	0.18868690909090857	11
40	0.19351309090909039	4
41	0.19833927272727223	4
42	0.20316545454545404	10
43	0.20799163636363585	5
44	0.21281781818181766	5
45	0.2176439999999995	8
46	0.22247018181818132	6
47	0.22729636363636313	3
48	0.23212254545454497	6
49	0.23694872727272678	8
50	0.2417749090909086	1
51	0.2466010909090904	4
52	0.2514272727272722	6
53	0.25625345454545406	4
54	0.2610796363636359	3
55	0.2659058181818177	3
56	0.27073199999999953	4
57	0.27555818181818137	1
58	0.28038436363636315	5
59	0.285210545454545	7
60	0.2900367272727268	2
61	0.2948629090909086	1
62	0.29968909090909046	1
63	0.30451527272727225	6
64	0.3093414545454541	3
65	0.3141676363636359	3
66	0.3189938181818177	0
67	0.32381999999999955	6
68	0.3286461818181814	5
69	0.3334723636363632	2
70	0.338298545454545	1
71	0.3431247272727268	2
72	0.34795090909090864	4
73	0.3527770909090905	4
74	0.35760327272727227	1
75	0.3624294545454541	6
76	0.36725563636363595	1
77	0.37208181818181774	2
78	0.3769079999999996	2
79	0.3817341818181814	1
80	0.3865603636363632	3
81	0.39138654545454504	2
82	0.3962127272727269	1
83	0.40103890909090867	3
84	0.4058650909090905	6
85	0.4106912727272723	1
86	0.41551745454545413	2
87	0.420343636363636	3
88	0.42516981818181776	2
89	0.4299959999999996	3
90	0.43482218181818144	3
91	0.4396483636363632	1
92	0.44447454545454507	0
93	0.4493007272727269	1
94	0.4541269090909087	2
95	0.45895309090909053	1
96	0.4637792727272724	2
97	0.46860545454545416	1
98	0.473431636363636	1
99	0.4782578181818178	1
100	0.4830839999999996	1
101	0.48791018181818147	1
102	0.49273636363636325	0
103	0.4975625454545451	1
104	0.5023887272727269	0
105	0.5072149090909087	1
106	0.5120410909090906	1
107	0.5168672727272724	0
108	0.5216934545454542	2
109	0.526519636363636	2
110	0.5313458181818178	2
111	0.5361719999999996	2
112	0.5409981818181815	1
113	0.5458243636363633	0
114	0.5506505454545452	0
115	0.5554767272727269	0
116	0.5603029090909087	1
117	0.5651290909090906	1
118	0.5699552727272724	3
119	0.5747814545454543	0
120	0.579607636363636	0
121	0.5844338181818178	1
122	0.5892599999999997	0
123	0.5940861818181815	2
124	0.5989123636363634	0
125	0.6037385454545452	0
126	0.6085647272727269	0
127	0.6133909090909088	0
128	0.6182170909090906	2
129	0.6230432727272724	0
130	0.6278694545454543	1
131	0.632695636363636	0
132	0.6375218181818179	2
133	0.6423479999999997	0
134	0.6471741818181815	1
135	0.6520003636363634	0
136	0.6568265454545452	1
137	0.661652727272727	0
138	0.6664789090909088	1
139	0.6713050909090906	0
140	0.6761312727272725	1
141	0.6809574545454543	0
142	0.685783636363636	0
143	0.6906098181818179	0
144	0.6954359999999997	0
145	0.7002621818181816	0
146	0.7050883636363634	0
147	0.7099145454545452	0
148	0.714740727272727	1
149	0.7195669090909088	1
150	0.7243930909090907	2
151	0.7292192727272725	1
152	0.7340454545454543	0
153	0.7388716363636362	2
154	0.7436978181818179	0
155	0.7485239999999997	1
156	0.7533501818181816	0
157	0.7581763636363634	0
158	0.7630025454545453	0
159	0.767828727272727	0
160	0.7726549090909088	0
161	0.7774810909090907	0
162	0.7823072727272725	0
163	0.7871334545454544	1
164	0.7919596363636362	0
165	0.7967858181818179	0
166	0.8016119999999998	0
167	0.8064381818181816	2
168	0.8112643636363635	0
169	0.8160905454545453	0
170	0.820916727272727	1
171	0.8257429090909089	0
172	0.8305690909090907	3
173	0.8353952727272725	0
174	0.8402214545454544	0
175	0.8450476363636362	0
176	0.849873818181818	0
177	0.8546999999999998	0
178	0.8595261818181816	1
179	0.8643523636363635	1
180	0.8691785454545453	0
181	0.874004727272727	0
182	0.8788309090909089	0
183	0.8836570909090907	0
184	0.8884832727272726	0
185	0.8933094545454544	0
186	0.8981356363636362	1
187	0.902961818181818	0
188	0.9077879999999998	0
189	0.9126141818181817	0
190	0.9174403636363635	0
191	0.9222665454545453	0
192	0.9270927272727272	1
193	0.9319189090909089	0
194	0.9367450909090907	0
195	0.9415712727272726	1
196	0.9463974545454544	0
197	0.9512236363636363	0
198	0.956049818181818	1
199	0.9608759999999998	0
200	0.9657021818181817	0
201	0.9705283636363635	1
202	0.9753545454545454	1
203	0.9801807272727272	1
204	0.9850069090909089	2
205	0.9898330909090908	0
206	0.9946592727272726	0
207	0.9994854545454545	1
208	1.0043116363636362	1
209	1.009137818181818	2
210	1.0139639999999999	1
211	1.0187901818181817	0
212	1.0236163636363635	0
213	1.0284425454545454	1
214	1.0332687272727272	0
215	1.038094909090909	0
216	1.042921090909091	0
217	1.0477472727272727	0
218	1.0525734545454544	0
219	1.0573996363636362	0
220	1.062225818181818	0
221	1.067052	1
222	1.0718781818181817	0
223	1.0767043636363636	1
224	1.0815305454545454	0
225	1.0863567272727273	0
226	1.091182909090909	0
227	1.096009090909091	1
228	1.1008352727272728	1
229	1.1056614545454544	0
230	1.1104876363636362	0
231	1.115313818181818	1
232	1.12014	0
233	1.1249661818181818	0
234	1.1297923636363636	1
235	1.1346185454545454	1
236	1.1394447272727273	1
237	1.1442709090909091	0
238	1.149097090909091	1
239	1.1539232727272728	0
240	1.1587494545454544	0
241	1.1635756363636363	0
242	1.168401818181818	0
243	1.173228	0
244	1.1780541818181818	1
245	1.1828803636363636	0
246	1.1877065454545455	0
247	1.1925327272727273	0
248	1.1973589090909091	0
249	1.202185090909091	0
250	1.2070112727272728	0
251	1.2118374545454544	0
252	1.2166636363636363	0
253	1.2214898181818181	0
254	1.226316	1
255	1.2311421818181818	0
256	1.2359683636363636	1
257	1.2407945454545455	0
258	1.2456207272727273	0
259	1.2504469090909092	1
260	1.255273090909091	0
261	1.2600992727272728	0
262	1.2649254545454545	2
263	1.2697516363636363	1
264	1.2745778181818181	0
265	1.279404	0
266	1.2842301818181818	0
267	1.2890563636363637	0
268	1.2938825454545455	0
269	1.2987087272727273	0
270	1.3035349090909092	0
271	1.308361090909091	0
272	1.3131872727272729	0
273	1.3180134545454545	1
274	1.3228396363636363	0
275	1.3276658181818182	0
276	1.332492	0
277	1.3373181818181819	1
278	1.3421443636363637	0
279	1.3469705454545455	0
280	1.3517967272727274	0
281	1.3566229090909092	0
282	1.361449090909091	1
283	1.366275272727273	0
284	1.3711014545454545	0
285	1.3759276363636364	0
286	1.3807538181818182	0
287	1.38558	0
288	1.3904061818181819	0
289	1.3952323636363637	0
290	1.4000585454545456	0
291	1.4048847272727274	0
292	1.4097109090909092	0
293	1.414537090909091	0
294	1.419363272727273	0
295	1.4241894545454545	0
296	1.4290156363636364	0
297	1.4338418181818182	0
298	1.438668	0
299	1.443494181818182	0
300	1.4483203636363637	0
301	1.4531465454545456	0
302	1.4579727272727274	0
303	1.4627989090909093	0
304	1.467625090909091	0
305	1.472451272727273	0
306	1.4772774545454548	0
307	1.4821036363636364	0
308	1.4869298181818182	0
309	1.491756	1
310	1.496582181818182	0
311	1.5014083636363638	1
312	1.5062345454545456	0
313	1.5110607272727274	0
314	1.5158869090909093	0
315	1.5207130909090911	0
316	1.525539272727273	0
317	1.5303654545454548	0
318	1.5351916363636364	0
319	1.5400178181818183	0
320	1.544844	0
321	1.549670181818182	0
322	1.5544963636363638	1
323	1.5593225454545456	0
324	1.5641487272727275	0
325	1.5689749090909093	0
326	1.5738010909090911	1
327	1.578627272727273	0
328	1.5834534545454548	0
329	1.5882796363636364	1
330	1.5931058181818183	0
331	1.5979320000000001	0
332	1.602758181818182	0
333	1.6075843636363638	0
334	1.6124105454545457	0
335	1.6172367272727275	0
336	1.6220629090909093	0
337	1.6268890909090912	0
338	1.631715272727273	0
339	1.6365414545454549	0
340	1.6413676363636365	1
341	1.6461938181818183	1
342	1.6510200000000002	0
343	1.655846181818182	1
344	1.6606723636363638	0
345	1.6654985454545457	0
346	1.6703247272727275	0
347	1.6751509090909094	0
348	1.6799770909090912	0
349	1.684803272727273	0
350	1.6896294545454549	1
351	1.6944556363636365	0
352	1.6992818181818183	0
353	1.7041080000000002	0
354	1.708934181818182	0
355	1.7137603636363639	0
356	1.7185865454545457	0
357	1.7234127272727275	0
358	1.7282389090909094	0
359	1.7330650909090912	0
360	1.737891272727273	0
