Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Amp
High Voltage:,0
Conversion Gain:,1024
Coarse Gain:,1
Fine Gain:,1.00
Upper Discriminator:,1048
Lower Discriminator:,14
Calibration Coefficients:,0.004836734693877354,0.003244897959183674
Calibration Channels:,360,409
Calibration Energies:,1.173,1.332
Elapsed Real Time:,1445.86
Elapsed Live Time:,1442.94
Start Time:,May 10, 2025, 02:51:32
End Time:,May 10, 2025, 03:15:38
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
358,358.0,141
359,359.0,107
360,360.0,115
361,361.0,111
362,362.0,120
363,363.0,105
364,364.0,86
365,365.0,109
366,366.0,91
367,367.0,107
368,368.0,116
369,369.0,84
370,370.0,94
371,371.0,118
372,372.0,107
373,373.0,113
374,374.0,108
375,375.0,104
376,376.0,109
377,377.0,84
378,378.0,116
379,379.0,111
380,380.0,93
381,381.0,96
382,382.0,80
383,383.0,111
384,384.0,84
385,385.0,81
386,386.0,92
387,387.0,102
388,388.0,103
389,389.0,86
390,390.0,92
391,391.0,72
392,392.0,92
393,393.0,77
394,394.0,84
395,395.0,88
396,396.0,98
397,397.0,94
398,398.0,83
399,399.0,92
400,400.0,88
401,401.0,84
402,402.0,80
403,403.0,94
404,404.0,98
405,405.0,78
406,406.0,87
407,407.0,76
408,408.0,98
409,409.0,88
410,410.0,90
411,411.0,81
412,412.0,89
413,413.0,81
414,414.0,84
415,415.0,72
416,416.0,79
417,417.0,73
418,418.0,76
419,419.0,100
420,420.0,83
421,421.0,76
422,422.0,71
423,423.0,81
424,424.0,75
425,425.0,74
426,426.0,95
427,427.0,79
428,428.0,78
429,429.0,82
430,430.0,85
431,431.0,85
432,432.0,87
433,433.0,90
434,434.0,73
435,435.0,94
436,436.0,99
437,437.0,84
438,438.0,100
439,439.0,98
440,440.0,96
441,441.0,96
442,442.0,114
443,443.0,108
444,444.0,122
445,445.0,102
446,446.0,95
447,447.0,99
448,448.0,90
449,449.0,84
450,450.0,104
451,451.0,89
452,452.0,88
453,453.0,93
454,454.0,95
455,455.0,81
456,456.0,107
457,457.0,91
458,458.0,73
459,459.0,77
460,460.0,66
461,461.0,89
462,462.0,85
463,463.0,73
464,464.0,73
465,465.0,86
466,466.0,82
467,467.0,80
468,468.0,72
469,469.0,82
470,470.0,69
471,471.0,76
472,472.0,74
473,473.0,62
474,474.0,72
475,475.0,60
476,476.0,61
477,477.0,80
478,478.0,69
479,479.0,72
480,480.0,75
481,481.0,70
482,482.0,75
483,483.0,65
484,484.0,67
485,485.0,81
486,486.0,80
487,487.0,87
488,488.0,86
489,489.0,71
490,490.0,70
491,491.0,79
492,492.0,66
493,493.0,66
494,494.0,92
495,495.0,60
496,496.0,84
497,497.0,71
498,498.0,78
499,499.0,82
500,500.0,76
501,501.0,69
502,502.0,86
503,503.0,56
504,504.0,78
505,505.0,64
506,506.0,86
507,507.0,64
508,508.0,87
509,509.0,66
510,510.0,90
511,511.0,80
512,512.0,67
513,513.0,85
514,514.0,93
515,515.0,88
516,516.0,76
517,517.0,77
518,518.0,81
519,519.0,68
520,520.0,68
521,521.0,63
522,522.0,76
523,523.0,73
524,524.0,71
525,525.0,78
526,526.0,70
527,527.0,58
528,528.0,79
529,529.0,74
530,530.0,79
531,531.0,60
532,532.0,63
533,533.0,75
534,534.0,80
535,535.0,65
536,536.0,81
537,537.0,60
538,538.0,78
539,539.0,79
540,540.0,59
541,541.0,66
542,542.0,75
543,543.0,53
544,544.0,73
545,545.0,76
546,546.0,67
547,547.0,63
548,548.0,62
549,549.0,49
550,550.0,54
551,551.0,62
552,552.0,45
553,553.0,53
554,554.0,52
555,555.0,64
556,556.0,47
557,557.0,64
558,558.0,52
559,559.0,53
560,560.0,61
561,561.0,53
562,562.0,55
563,563.0,49
564,564.0,47
565,565.0,53
566,566.0,47
567,567.0,64
568,568.0,51
569,569.0,45
570,570.0,47
571,571.0,53
572,572.0,60
573,573.0,57
574,574.0,48
575,575.0,67
576,576.0,50
577,577.0,47
578,578.0,49
579,579.0,42
580,580.0,46
581,581.0,47
582,582.0,63
583,583.0,59
584,584.0,44
585,585.0,51
586,586.0,39
587,587.0,55
588,588.0,49
589,589.0,53
590,590.0,47
591,591.0,58
592,592.0,47
593,593.0,61
594,594.0,55
595,595.0,45
596,596.0,57
597,597.0,44
598,598.0,38
599,599.0,56
600,600.0,36
601,601.0,56
602,602.0,47
603,603.0,56
604,604.0,44
605,605.0,36
606,606.0,50
607,607.0,36
608,608.0,39
609,609.0,43
610,610.0,48
611,611.0,55
612,612.0,53
613,613.0,54
614,614.0,40
615,615.0,45
616,616.0,51
617,617.0,47
618,618.0,55
619,619.0,38
620,620.0,41
621,621.0,42
622,622.0,48
623,623.0,49
624,624.0,37
625,625.0,46
626,626.0,62
627,627.0,48
628,628.0,41
629,629.0,39
630,630.0,37
631,631.0,62
632,632.0,49
633,633.0,34
634,634.0,56
635,635.0,28
636,636.0,41
637,637.0,42
638,638.0,43
639,639.0,40
640,640.0,44
641,641.0,47
642,642.0,52
643,643.0,47
644,644.0,36
645,645.0,41
646,646.0,37
647,647.0,29
648,648.0,41
649,649.0,47
650,650.0,51
651,651.0,35
652,652.0,39
653,653.0,39
654,654.0,38
655,655.0,33
656,656.0,59
657,657.0,43
658,658.0,34
659,659.0,31
660,660.0,48
661,661.0,43
662,662.0,39
663,663.0,44
664,664.0,32
665,665.0,45
666,666.0,36
667,667.0,38
668,668.0,43
669,669.0,55
670,670.0,42
671,671.0,36
672,672.0,32
673,673.0,41
674,674.0,54
675,675.0,48
676,676.0,45
677,677.0,48
678,678.0,37
679,679.0,41
680,680.0,54
681,681.0,43
682,682.0,45
683,683.0,46
684,684.0,37
685,685.0,46
686,686.0,42
687,687.0,45
688,688.0,33
689,689.0,32
690,690.0,39
691,691.0,52
692,692.0,30
693,693.0,24
694,694.0,39
695,695.0,35
696,696.0,33
697,697.0,31
698,698.0,33
699,699.0,42
700,700.0,39
701,701.0,33
702,702.0,35
703,703.0,38
704,704.0,34
705,705.0,35
706,706.0,33
707,707.0,28
708,708.0,31
709,709.0,34
710,710.0,39
711,711.0,40
712,712.0,29
713,713.0,40
714,714.0,38
715,715.0,35
716,716.0,40
717,717.0,37
718,718.0,31
719,719.0,34
720,720.0,32
721,721.0,31
722,722.0,30
723,723.0,31
724,724.0,29
725,725.0,37
726,726.0,28
727,727.0,25
728,728.0,29
729,729.0,31
730,730.0,31
731,731.0,38
732,732.0,24
733,733.0,25
734,734.0,32
735,735.0,31
736,736.0,29
737,737.0,20
738,738.0,21
739,739.0,34
740,740.0,32
741,741.0,34
742,742.0,24
743,743.0,16
744,744.0,30
745,745.0,29
746,746.0,35
747,747.0,38
748,748.0,33
749,749.0,34
750,750.0,31
751,751.0,31
752,752.0,23
753,753.0,39
754,754.0,25
755,755.0,26
756,756.0,29
757,757.0,37
758,758.0,34
759,759.0,28
760,760.0,27
761,761.0,31
762,762.0,26
763,763.0,24
764,764.0,28
765,765.0,28
766,766.0,32
767,767.0,28
768,768.0,29
769,769.0,32
770,770.0,32
771,771.0,24
772,772.0,23
773,773.0,25
774,774.0,36
775,775.0,19
776,776.0,27
777,777.0,28
778,778.0,21
779,779.0,34
780,780.0,33
781,781.0,39
782,782.0,31
783,783.0,27
784,784.0,36
785,785.0,35
786,786.0,31
787,787.0,31
788,788.0,33
789,789.0,34
790,790.0,38
791,791.0,30
792,792.0,33
793,793.0,35
794,794.0,40
795,795.0,26
796,796.0,33
797,797.0,25
798,798.0,24
799,799.0,37
800,800.0,35
801,801.0,37
802,802.0,34
803,803.0,39
804,804.0,32
805,805.0,24
806,806.0,31
807,807.0,43
808,808.0,19
809,809.0,21
810,810.0,30
811,811.0,24
812,812.0,27
813,813.0,20
814,814.0,24
815,815.0,27
816,816.0,27
817,817.0,33
818,818.0,25
819,819.0,20
820,820.0,26
821,821.0,17
822,822.0,35
823,823.0,25
824,824.0,20
825,825.0,27
826,826.0,24
827,827.0,26
828,828.0,25
829,829.0,32
830,830.0,26
831,831.0,22
832,832.0,22
833,833.0,32
834,834.0,25
835,835.0,23
836,836.0,16
837,837.0,24
838,838.0,24
839,839.0,22
840,840.0,25
841,841.0,19
842,842.0,25
843,843.0,21
844,844.0,27
845,845.0,27
846,846.0,21
847,847.0,22
848,848.0,24
849,849.0,27
850,850.0,25
851,851.0,25
852,852.0,23
853,853.0,22
854,854.0,18
855,855.0,18
856,856.0,33
857,857.0,28
858,858.0,34
859,859.0,29
860,860.0,26
861,861.0,28
862,862.0,22
863,863.0,27
864,864.0,18
865,865.0,20
866,866.0,26
867,867.0,22
868,868.0,21
869,869.0,21
870,870.0,23
871,871.0,29
872,872.0,20
873,873.0,19
874,874.0,27
875,875.0,21
876,876.0,21
877,877.0,29
878,878.0,22
879,879.0,23
880,880.0,21
881,881.0,26
882,882.0,22
883,883.0,21
884,884.0,25
885,885.0,24
886,886.0,13
887,887.0,25
888,888.0,22
889,889.0,26
890,890.0,24
891,891.0,26
892,892.0,21
893,893.0,30
894,894.0,24
895,895.0,28
896,896.0,20
897,897.0,22
898,898.0,32
899,899.0,28
900,900.0,23
901,901.0,23
902,902.0,30
903,903.0,21
904,904.0,24
905,905.0,29
906,906.0,25
907,907.0,29
908,908.0,25
909,909.0,15
910,910.0,25
911,911.0,21
912,912.0,20
913,913.0,22
914,914.0,20
915,915.0,18
916,916.0,29
917,917.0,21
918,918.0,25
919,919.0,16
920,920.0,21
921,921.0,26
922,922.0,23
923,923.0,16
924,924.0,34
925,925.0,15
926,926.0,16
927,927.0,27
928,928.0,27
929,929.0,17
930,930.0,22
931,931.0,21
932,932.0,18
933,933.0,22
934,934.0,14
935,935.0,25
936,936.0,17
937,937.0,30
938,938.0,24
939,939.0,28
940,940.0,21
941,941.0,21
942,942.0,23
943,943.0,19
944,944.0,24
945,945.0,22
946,946.0,29
947,947.0,14
948,948.0,19
949,949.0,28
950,950.0,21
951,951.0,22
952,952.0,28
953,953.0,23
954,954.0,20
955,955.0,21
956,956.0,29
957,957.0,18
958,958.0,30
959,959.0,19
960,960.0,26
961,961.0,31
962,962.0,22
963,963.0,24
964,964.0,20
965,965.0,21
966,966.0,14
967,967.0,21
968,968.0,18
969,969.0,19
970,970.0,21
971,971.0,23
972,972.0,22
973,973.0,26
974,974.0,19
975,975.0,23
976,976.0,27
977,977.0,22
978,978.0,28
979,979.0,21
980,980.0,22
981,981.0,16
982,982.0,17
983,983.0,25
984,984.0,25
985,985.0,22
986,986.0,20
987,987.0,11
988,988.0,28
989,989.0,35
990,990.0,21
991,991.0,15
992,992.0,26
993,993.0,19
994,994.0,21
995,995.0,14
996,996.0,13
997,997.0,22
998,998.0,31
999,999.0,17
1000,1000.0,20
1001,1001.0,27
1002,1002.0,19
1003,1003.0,26
1004,1004.0,12
1005,1005.0,18
1006,1006.0,16
1007,1007.0,15
1008,1008.0,20
1009,1009.0,16
1010,1010.0,22
1011,1011.0,23
1012,1012.0,25
1013,1013.0,24
1014,1014.0,18
1015,1015.0,20
1016,1016.0,21
1017,1017.0,19
1018,1018.0,20
1019,1019.0,14
1020,1020.0,14
1021,1021.0,15
1022,1022.0,17
1023,1023.0,17
