Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Amp
High Voltage:,0
Conversion Gain:,1024
Coarse Gain:,1
Fine Gain:,1.00
Upper Discriminator:,3
Lower Discriminator:,0
Calibration Coefficients:,0.004836734693877354,0.003244897959183674
Calibration Channels:,360,409
Calibration Energies:,1.173,1.332
Elapsed Real Time:,367.26
Elapsed Live Time:,350.34
Start Time:,May 10, 2025, 01:03:26
End Time:,May 10, 2025, 01:09:34
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,0.004836734693877354,1071
1,0.008081632653061027,601
2,0.0113265306122447,759
3,0.014571428571428376,1181
4,0.017816326530612048,2066
5,0.021061224489795725,2663
6,0.024306122448979398,14112
7,0.027551020408163072,56911
8,0.030795918367346745,158013
9,0.034040816326530415,34350
10,0.037285714285714096,3356
11,0.04053061224489777,2092
12,0.04377551020408144,1913
13,0.047020408163265116,2116
14,0.05026530612244879,2450
15,0.05351020408163246,2711
16,0.05675510204081614,2936
17,0.05999999999999981,2953
18,0.06324489795918348,2637
19,0.06648979591836715,2395
20,0.06973469387755084,2349
21,0.07297959183673451,2237
22,0.07622448979591818,2153
23,0.07946938775510186,2039
24,0.08271428571428553,2100
25,0.0859591836734692,2038
26,0.08920408163265288,2036
27,0.09244897959183655,2066
28,0.09569387755102023,2048
29,0.0989387755102039,2086
30,0.10218367346938757,2089
31,0.10542857142857125,2152
32,0.10867346938775492,2215
33,0.1119183673469386,2096
34,0.11516326530612227,2060
35,0.11840816326530594,4671
36,0.12165306122448961,12033
37,0.12489795918367329,4736
38,0.12814285714285695,2051
39,0.13138775510204065,1948
40,0.13463265306122432,1932
41,0.137877551020408,1937
42,0.14112244897959167,1956
43,0.14436734693877534,1781
44,0.14761224489795902,1885
45,0.1508571428571427,1884
46,0.15410204081632636,1795
47,0.15734693877551004,1832
48,0.1605918367346937,1945
49,0.16383673469387738,1795
50,0.16708163265306106,1820
51,0.17032653061224473,1825
52,0.1735714285714284,1782
53,0.17681632653061208,1896
54,0.18006122448979575,1850
55,0.18330612244897942,1866
56,0.1865510204081631,1867
57,0.18979591836734677,1958
58,0.19304081632653045,1815
59,0.19628571428571412,2005
60,0.1995306122448978,2000
61,0.20277551020408147,2084
62,0.20602040816326514,2125
63,0.2092653061224488,2196
64,0.2125102040816325,2204
65,0.21575510204081616,2398
66,0.21899999999999983,2348
67,0.2222448979591835,2286
68,0.22548979591836718,2370
69,0.22873469387755085,2310
70,0.23197959183673453,2391
71,0.2352244897959182,2374
72,0.23846938775510187,2438
73,0.24171428571428555,2439
74,0.24495918367346922,2525
75,0.2482040816326529,2567
76,0.25144897959183654,2593
77,0.25469387755102024,2594
78,0.25793877551020394,2478
79,0.2611836734693876,2532
80,0.2644285714285713,2492
81,0.26767346938775494,2366
82,0.27091836734693864,2382
83,0.2741632653061223,2438
84,0.277408163265306,2424
85,0.28065306122448963,2352
86,0.28389795918367333,2402
87,0.287142857142857,2253
